ReferenceAllele,AlternateAllele,Chromosome,Start,Stop,GeneSymbol,ClinicalSignificance,PhenotypeList,Type,Assembly
na,na,12,6974427,6974427,EMG1,Pathogenic,Bowen-Conradi syndrome,single nucleotide variant,GRCh38
na,na,6,88279230,88279230,RARS2,Pathogenic,Pontocerebellar hypoplasia type 6|not provided,single nucleotide variant,GRCh37
na,na,6,87569512,87569512,RARS2,Pathogenic,Pontocerebellar hypoplasia type 6|not provided,single nucleotide variant,GRCh38
na,na,4,103806378,103806378,CISD2,Pathogenic,Wolfram syndrome 2,single nucleotide variant,GRCh37
na,na,4,102885221,102885221,CISD2,Pathogenic,Wolfram syndrome 2,single nucleotide variant,GRCh38
na,na,7,65425984,65425984,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh37
na,na,7,65960997,65960997,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh38
na,na,7,65439613,65439613,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|Non-immune hydrops fetalis,single nucleotide variant,GRCh37
na,na,7,65974626,65974626,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|Non-immune hydrops fetalis,single nucleotide variant,GRCh38
na,na,7,65444464,65444464,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh37
na,na,7,65979477,65979477,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh38
na,na,7,65439910,65439910,GUSB,Conflicting classifications of pathogenicity,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh37
na,na,7,65974923,65974923,GUSB,Conflicting classifications of pathogenicity,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh38
na,na,7,65426009,65426009,GUSB,Conflicting classifications of pathogenicity,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65961022,65961022,GUSB,Conflicting classifications of pathogenicity,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65444853,65444853,GUSB,Pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65979866,65979866,GUSB,Pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65432887,65432887,GUSB,Uncertain significance,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65967900,65967900,GUSB,Uncertain significance,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65432850,65432850,GUSB,Pathogenic,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh37
na,na,7,65967863,65967863,GUSB,Pathogenic,Mucopolysaccharidosis type 7|not provided,single nucleotide variant,GRCh38
na,na,7,65432754,65432754,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65967767,65967767,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65429369,65429369,GUSB,Likely pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65964382,65964382,GUSB,Likely pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65438663,65438664,GUSB,Pathogenic,Mucopolysaccharidosis type 7,Deletion,GRCh37
na,na,7,65973676,65973677,GUSB,Pathogenic,Mucopolysaccharidosis type 7,Deletion,GRCh38
na,na,7,65439335,65439335,GUSB,Pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65974348,65974348,GUSB,Pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65444769,65444769,GUSB,Pathogenic,Mucopolysaccharidosis type 7|Mucopolysaccharidosis type 6|not provided|GUSB-related disorder,single nucleotide variant,GRCh37
na,na,7,65979782,65979782,GUSB,Pathogenic,Mucopolysaccharidosis type 7|Mucopolysaccharidosis type 6|not provided|GUSB-related disorder,single nucleotide variant,GRCh38
na,na,7,65439921,65439921,GUSB,Pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh37
na,na,7,65974934,65974934,GUSB,Pathogenic,Mucopolysaccharidosis type 7,single nucleotide variant,GRCh38
na,na,7,65425959,65425959,GUSB,Likely pathogenic,Mucopolysaccharidosis type 7|not provided|GUSB-related disorder,single nucleotide variant,GRCh37
na,na,7,65960972,65960972,GUSB,Likely pathogenic,Mucopolysaccharidosis type 7|not provided|GUSB-related disorder,single nucleotide variant,GRCh38
na,na,7,65439688,65439688,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|Non-immune hydrops fetalis|not provided,single nucleotide variant,GRCh37
na,na,7,65974701,65974701,GUSB,Pathogenic/Likely pathogenic,Mucopolysaccharidosis type 7|Non-immune hydrops fetalis|not provided,single nucleotide variant,GRCh38
na,na,19,15659981,15659981,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5|not provided|Lamellar ichthyosis,single nucleotide variant,GRCh37
na,na,19,15549170,15549170,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5|not provided|Lamellar ichthyosis,single nucleotide variant,GRCh38
na,na,19,15659984,15659984,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5,single nucleotide variant,GRCh37
na,na,19,15549173,15549173,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5,single nucleotide variant,GRCh38
na,na,19,15651317,15651317,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5|Lamellar ichthyosis,single nucleotide variant,GRCh37
na,na,19,15540506,15540506,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5|Lamellar ichthyosis,single nucleotide variant,GRCh38
na,na,na,-1,-1,CYP4F22,Pathogenic,Autosomal recessive congenital ichthyosis 5,Deletion,na
na,na,8,86392989,86392989,CA2,Benign/Likely benign,CARBONIC ANHYDRASE II VARIANT|Osteopetrosis with renal tubular acidosis|not provided,single nucleotide variant,GRCh37
na,na,8,85480760,85480760,CA2,Benign/Likely benign,CARBONIC ANHYDRASE II VARIANT|Osteopetrosis with renal tubular acidosis|not provided,single nucleotide variant,GRCh38
na,na,8,86377518,86377518,CA2,Pathogenic,CARBONIC ANHYDRASE II VARIANT,single nucleotide variant,GRCh37
na,na,8,85465289,85465289,CA2,Pathogenic,CARBONIC ANHYDRASE II VARIANT,single nucleotide variant,GRCh38
na,na,8,86392942,86392942,CA2,Pathogenic,CARBONIC ANHYDRASE II VARIANT,single nucleotide variant,GRCh37
na,na,8,85480713,85480713,CA2,Pathogenic,CARBONIC ANHYDRASE II VARIANT,single nucleotide variant,GRCh38
na,na,8,86386008,86386008,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,single nucleotide variant,GRCh37
na,na,8,85473779,85473779,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,single nucleotide variant,GRCh38
na,na,8,86389348,86389348,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,single nucleotide variant,GRCh37
na,na,8,85477119,85477119,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,single nucleotide variant,GRCh38
na,na,8,86377586,86377586,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,single nucleotide variant,GRCh37
na,na,8,85465357,85465357,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,single nucleotide variant,GRCh38
na,na,8,86389461,86389461,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,Deletion,GRCh37
na,na,8,85477232,85477232,CA2,Pathogenic,Osteopetrosis with renal tubular acidosis,Deletion,GRCh38
na,na,na,-1,-1,MBD5,Pathogenic,"Intellectual disability, autosomal dominant 1",Deletion,na
na,na,17,43555265,43555265,PLEKHM1,Pathogenic,Autosomal recessive osteopetrosis 6,single nucleotide variant,GRCh37
na,na,17,45477899,45477899,PLEKHM1,Pathogenic,Autosomal recessive osteopetrosis 6,single nucleotide variant,GRCh38
na,na,3,33114136,33114136,GLB1,Conflicting classifications of pathogenicity,"Infantile GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33072644,33072644,GLB1,Conflicting classifications of pathogenicity,"Infantile GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33058311,33058311,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 2|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis|not provided|GM1 gangliosidosis type 2",single nucleotide variant,GRCh37
na,na,3,33016819,33016819,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 2|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis|not provided|GM1 gangliosidosis type 2",single nucleotide variant,GRCh38
na,na,3,33099713,33099713,GLB1,Pathogenic/Likely pathogenic,"GM1 gangliosidosis type 2|GM1 gangliosidosis|not provided|GM1 gangliosidosis type 3|Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|GLB1-related disorder|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2",single nucleotide variant,GRCh37
na,na,3,33058221,33058221,GLB1,Pathogenic/Likely pathogenic,"GM1 gangliosidosis type 2|GM1 gangliosidosis|not provided|GM1 gangliosidosis type 3|Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|GLB1-related disorder|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2",single nucleotide variant,GRCh38
na,na,3,33114129,33114129,GLB1,Pathogenic,"GM1 gangliosidosis type 3|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33072637,33072637,GLB1,Pathogenic,"GM1 gangliosidosis type 3|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,na,-1,-1,GLB1,Pathogenic,Infantile GM1 gangliosidosis,Duplication,na
na,na,3,33110341,33110341,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|not provided|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33068849,33068849,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|not provided|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33093258,33093258,GLB1,Pathogenic/Likely pathogenic,"Infantile GM1 gangliosidosis|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33051766,33051766,GLB1,Pathogenic/Likely pathogenic,"Infantile GM1 gangliosidosis|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33058310,33058310,GLB1,Pathogenic/Likely pathogenic,"GM1 gangliosidosis type 3|GM1 gangliosidosis type 2;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis",single nucleotide variant,GRCh37
na,na,3,33016818,33016818,GLB1,Pathogenic/Likely pathogenic,"GM1 gangliosidosis type 3|GM1 gangliosidosis type 2;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis",single nucleotide variant,GRCh38
na,na,3,33093471,33093471,GLB1,Likely pathogenic,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis",single nucleotide variant,GRCh37
na,na,3,33051979,33051979,GLB1,Likely pathogenic,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis",single nucleotide variant,GRCh38
na,na,3,33058235,33058235,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|GM1 gangliosidosis|Mucopolysaccharidosis, MPS-IV-B|not provided|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2",single nucleotide variant,GRCh37
na,na,3,33016743,33016743,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|GM1 gangliosidosis|Mucopolysaccharidosis, MPS-IV-B|not provided|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2",single nucleotide variant,GRCh38
na,na,3,33055755,33055755,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33014263,33014263,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33110429,33110430,GLB1,Pathogenic,Infantile GM1 gangliosidosis,Duplication,GRCh37
na,na,3,33068937,33068938,GLB1,Pathogenic,Infantile GM1 gangliosidosis,Duplication,GRCh38
na,na,3,33114036,33114036,GLB1,Pathogenic/Likely pathogenic,"GM1 gangliosidosis type 3|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|not provided|Inborn genetic diseases|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis",single nucleotide variant,GRCh37
na,na,3,33072544,33072544,GLB1,Pathogenic/Likely pathogenic,"GM1 gangliosidosis type 3|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|not provided|Inborn genetic diseases|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis",single nucleotide variant,GRCh38
na,na,3,33138500,33138501,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|GM1 gangliosidosis type 3|Mucopolysaccharidosis, MPS-IV-B|not provided|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis type 2|Inborn genetic diseases",Duplication,GRCh37
na,na,3,33097008,33097009,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|GM1 gangliosidosis type 3|Mucopolysaccharidosis, MPS-IV-B|not provided|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis type 2|Inborn genetic diseases",Duplication,GRCh38
na,na,3,33110461,33110461,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33068969,33068969,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33058236,33058236,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33016744,33016744,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33099692,33099692,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|GM1 gangliosidosis|not provided|GM1 gangliosidosis type 2|GM1 gangliosidosis type 3|Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2|Inborn genetic diseases",single nucleotide variant,GRCh37
na,na,3,33058200,33058200,GLB1,Pathogenic,"Infantile GM1 gangliosidosis|GM1 gangliosidosis|not provided|GM1 gangliosidosis type 2|GM1 gangliosidosis type 3|Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2|Inborn genetic diseases",single nucleotide variant,GRCh38
na,na,3,33059974,33059974,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|not provided|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 2|Spondyloepiphyseal dysplasia|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis",single nucleotide variant,GRCh37
na,na,3,33018482,33018482,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|not provided|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 2|Spondyloepiphyseal dysplasia|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis",single nucleotide variant,GRCh38
na,na,3,33087629,33087629,GLB1,Pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B|Spastic ataxia",single nucleotide variant,GRCh37
na,na,3,33046137,33046137,GLB1,Pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B|Spastic ataxia",single nucleotide variant,GRCh38
na,na,3,33055784,33055784,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|not provided|GM1 gangliosidosis type 3|GM1 gangliosidosis|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33014292,33014292,GLB1,Pathogenic,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|not provided|GM1 gangliosidosis type 3|GM1 gangliosidosis|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33063068,33063068,GLB1,Conflicting classifications of pathogenicity,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh37
na,na,3,33021576,33021576,GLB1,Conflicting classifications of pathogenicity,"Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B",single nucleotide variant,GRCh38
na,na,3,33114079,33114079,GLB1,Pathogenic,"GM1 gangliosidosis type 2|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|not provided|GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2;Infantile GM1 gangliosidosis|GM1 gangliosidosis type 3",single nucleotide variant,GRCh37
na,na,3,33072587,33072587,GLB1,Pathogenic,"GM1 gangliosidosis type 2|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|Infantile GM1 gangliosidosis|not provided|GM1 gangliosidosis type 3;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 2;Infantile GM1 gangliosidosis|GM1 gangliosidosis type 3",single nucleotide variant,GRCh38
na,na,3,33114105,33114105,GLB1,Pathogenic/Likely pathogenic,"Infantile GM1 gangliosidosis|GM1-gangliosidosis, type I, with cardiac involvement|not provided|GM1 gangliosidosis type 2|Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 2|GM1 gangliosidosis type 3|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GLB1-related disorder|Inborn genetic diseases",single nucleotide variant,GRCh37
na,na,3,33072613,33072613,GLB1,Pathogenic/Likely pathogenic,"Infantile GM1 gangliosidosis|GM1-gangliosidosis, type I, with cardiac involvement|not provided|GM1 gangliosidosis type 2|Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;Infantile GM1 gangliosidosis;GM1 gangliosidosis type 2|GM1 gangliosidosis type 3|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GLB1-related disorder|Inborn genetic diseases",single nucleotide variant,GRCh38
na,na,3,33055804,33055804,GLB1,Pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement|Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis|GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis|Infantile GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2",single nucleotide variant,GRCh37
na,na,3,33014312,33014312,GLB1,Pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement|Mucopolysaccharidosis, MPS-IV-B|Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis|GM1 gangliosidosis|not provided|Infantile GM1 gangliosidosis|Infantile GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2",single nucleotide variant,GRCh38
na,na,3,33038800,33038800,GLB1,Pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement",single nucleotide variant,GRCh37
na,na,3,32997308,32997308,GLB1,Pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement",single nucleotide variant,GRCh38
na,na,3,33038799,33038799,GLB1,Pathogenic/Likely pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis type 2",single nucleotide variant,GRCh37
na,na,3,32997307,32997307,GLB1,Pathogenic/Likely pathogenic,"GM1-gangliosidosis, type I, with cardiac involvement|Infantile GM1 gangliosidosis;GM1 gangliosidosis type 3;GM1 gangliosidosis type 2;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis;Mucopolysaccharidosis, MPS-IV-B|GM1 gangliosidosis type 2",single nucleotide variant,GRCh38
na,na,9,336714,336714,DOCK8,Pathogenic,Combined immunodeficiency due to DOCK8 deficiency|,single nucleotide variant,GRCh37
na,na,9,336714,336714,DOCK8,Pathogenic,Combined immunodeficiency due to DOCK8 deficiency|,single nucleotide variant,GRCh38
na,na,9,333830,394034,DOCK8,Pathogenic,Combined immunodeficiency due to DOCK8 deficiency,Deletion,GRCh37
na,na,9,333830,394034,DOCK8,Pathogenic,Combined immunodeficiency due to DOCK8 deficiency,Deletion,GRCh38
na,na,9,311734,398139,DOCK8,Pathogenic,Combined immunodeficiency due to DOCK8 deficiency,Deletion,GRCh37
na,na,9,311734,398139,DOCK8,Pathogenic,Combined immunodeficiency due to DOCK8 deficiency,Deletion,GRCh38
na,na,15,28263543,28263703,OCA2,Pathogenic,Brown oculocutaneous albinism|Tyrosinase-positive oculocutaneous albinism,Deletion,GRCh37
na,na,15,28018397,28018557,OCA2,Pathogenic,Brown oculocutaneous albinism|Tyrosinase-positive oculocutaneous albinism,Deletion,GRCh38
na,na,15,28200303,28200303,OCA2,Pathogenic/Likely pathogenic,"Tyrosinase-positive oculocutaneous albinism|not provided|SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES|Oculocutaneous albinism",single nucleotide variant,GRCh37
na,na,15,27955157,27955157,OCA2,Pathogenic/Likely pathogenic,"Tyrosinase-positive oculocutaneous albinism|not provided|SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES|Oculocutaneous albinism",single nucleotide variant,GRCh38
na,na,15,28228553,28228553,OCA2,Conflicting classifications of pathogenicity,Tyrosinase-positive oculocutaneous albinism|not specified|not provided|OCA2-related disorder,single nucleotide variant,GRCh37
na,na,15,27983407,27983407,OCA2,Conflicting classifications of pathogenicity,Tyrosinase-positive oculocutaneous albinism|not specified|not provided|OCA2-related disorder,single nucleotide variant,GRCh38
na,na,15,28230247,28230247,OCA2,Pathogenic/Likely pathogenic,"Tyrosinase-positive oculocutaneous albinism|not provided|Inborn genetic diseases|SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES;Tyrosinase-positive oculocutaneous albinism|See cases|OCA2-related disorder|SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES|Albinism or congenital nystagmus",single nucleotide variant,GRCh37
na,na,15,27985101,27985101,OCA2,Pathogenic/Likely pathogenic,"Tyrosinase-positive oculocutaneous albinism|not provided|Inborn genetic diseases|SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES;Tyrosinase-positive oculocutaneous albinism|See cases|OCA2-related disorder|SKIN/HAIR/EYE PIGMENTATION 1, BLUE/NONBLUE EYES|Albinism or congenital nystagmus",single nucleotide variant,GRCh38
